songs,artists
About Damn Time,Lizzo
As It Was,Harry Styles
Running Up That Hill (A Deal With God),Kate Bush
First Class,Jack Harlow
Wait For U,Future Featuring Drake & Tems
Break My Soul,Beyonce
Late Night Talking,Harry Styles
Me Porto Bonito,Bad Bunny & Chencho Corleone
I Like You (A Happier Song),Post Malone Featuring Doja Cat
Heat Waves,Glass Animals
Bad Habit,Steve Lacy
Sunroof,Nicky Youre & dazy
Big Energy,Latto
Wasted On You,Morgan Wallen
Jimmy Cooks,Drake Featuring 21 Savage
Titi Me Pregunto,Bad Bunny
The Kind Of Love We Make,Luke Combs
Stay,The Kid LAROI & Justin Bieber
Numb Little Bug,Em Beihold
Ghost,Justin Bieber
Glimpse Of Us,Joji
You Proof,Morgan Wallen
Get Into It (Yuh),Doja Cat
I Ain't Worried,OneRepublic
She Had Me At Heads Carolina,Cole Swindell
Moscow Mule,Bad Bunny
Shivers,Ed Sheeran
Vegas,Doja Cat
Cold Heart (PNAU Remix),Elton John & Dua Lipa
Like I Love Country Music,Kane Brown
In A Minute,Lil Baby
Damn Strait,Scotty McCreery
Rock And A Hard Place,Bailey Zimmerman
Provenza,Karol G
Boyfriend,Dove Cameron
Sticky,Drake
Fall In Love,Bailey Zimmerman
Enemy,Imagine Dragons X JID
Super Gremlin,Kodak Black
Last Night Lonely,Jon Pardi
Something In The Orange,Zach Bryan
Thats What I Want,Lil Nas X
Woman,Doja Cat
Efecto,Bad Bunny
Hot Shit,"Cardi B, Ye & Lil Durk"
Take My Name,Parmalee
Left And Right,Charlie Puth Featuring Jung Kook
5 Foot 9,Tyler Hubbard
Sweetest Pie,Megan Thee Stallion & Dua Lipa
Thousand Miles,The Kid LAROI
What Happened To Virgil,Lil Durk Featuring Gunna
TV,Billie Eilish
Sleazy Flow,SleazyWorld Go Featuring Lil Baby
Party,Bad Bunny & Rauw Alejandro
Pressurelicious,Megan Thee Stallion Featuring Future
Son Of A Sinner,Jelly Roll
Cooped Up,Post Malone Featuring Roddy Ricch
Despues de La Playa,Bad Bunny
Betty (Get Money),Yung Gravy
Numb,Marshmello & Khalid
Wishful Drinking,Ingrid Andress With Sam Hunt
So Good,Halsey
Trouble With A Heartbreak,Jason Aldean
Ojitos Lindos,Bad Bunny & Bomba Estereo
Progress,John Rich
F.N.F. (Let's Go),Hitkidd & Glorilla
New Truck,Dylan Scott
2step,Ed Sheeran Featuring Lil Baby
Puffin On Zootiez,Future
Last Last,Burna Boy
Whiskey On You,Nate Smith
Best Thing Since Backroads,Jake Owen
Tarot,Bad Bunny & Jhay Cortez
Unstoppable,Sia
Wild As Her,Corey Kent
Hotel Lobby (Unc And Phew),Quavo & Takeoff
Free Mind,Tems
Ghost Story,Carrie Underwood
The 30th,Billie Eilish
Bones,Imagine Dragons
Massive,Drake
Truth About You,Mitchell Tenpenny
She Likes It,Russell Dickerson & Jake Scott
Love Me More,Sam Smith
Thought You Should Know,Morgan Wallen
At The End Of A Bar,Chris Young With Mitchell Tenpenny
Silent Hill,Kendrick Lamar & Kodak Black
Until I Found You,Stephen Sanchez
See Wat I'm Sayin,Moneybagg Yo
With A Woman You Love,Justin Moore
Love Lost,Mac Miller
Plan B,Megan Thee Stallion
Un Ratito,Bad Bunny
Vette Motors,YoungBoy Never Broke Again
Cash In Cash Out,"Pharrell Williams Featuring 21 Savage & Tyler, The Creator"
Te Felicito,Shakira & Rauw Alejandro
Are You Entertained,Russ & Ed Sheeran
"Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo
Right On,Lil Baby
La Corriente,Bad Bunny & Tony Dize
